/////////////////// START ///////////////////
Hidden layers: 1
Hidden layer size: 5
Hidden layers: 1
Fitness: 92844,92  // Good race line -- Fixed collisions of raytraces with cars
0:0:0:-0,8068209
0:0:1:-0,09653723
0:0:2:-0,2869741
0:0:3:-0,1557043
0:0:4:-0,7369318
0:1:0:-0,2861183
0:1:1:-0,06390478
0:1:2:0,841857
0:1:3:-0,9338115
0:1:4:0,08241046
0:2:0:0,4436581
0:2:1:0,3006338
0:2:2:-0,8517649
0:2:3:-0,5056678
0:2:4:-1,359471
0:3:0:-0,9444433
0:3:1:-0,9832232
0:3:2:0,6729884
0:3:3:0,5430716
0:3:4:-0,8817071
0:4:0:1,082414
0:4:1:-1,82848
0:4:2:0,93751
0:4:3:-0,1217657
0:4:4:0,4807675
0:5:0:-0,5852739
0:5:1:0,7086161
0:5:2:-0,5953998
0:5:3:1,068486
0:5:4:0,09160016
0:6:0:-0,2525644
0:6:1:-0,1038959
0:6:2:-0,0491421
0:6:3:0,4419723
0:6:4:0,8932303
0:7:0:-0,209797
0:7:1:0,6255248
0:7:2:0,5503455
0:7:3:0,8526434
0:7:4:-0,1736358
0:8:0:-0,9090626
0:8:1:0,363522
0:8:2:1,121358
0:8:3:-0,01968865
0:8:4:1,159628
0:9:0:-0,7364618
0:9:1:0,9573716
0:9:2:0,8678707
0:9:3:0,8048079
0:9:4:-0,1476163
0:10:0:0,6966107
0:10:1:-0,4510233
0:10:2:-0,4119153
0:10:3:0,04551552
0:10:4:-0,1256097
0:11:0:0,2652171
0:11:1:0,5692083
0:11:2:0,001446024
0:11:3:-0,09111598
0:11:4:0,4361759
1:0:0:-0,6112028
1:0:1:-0,1620483
1:1:0:0,09859437
1:1:1:1,497317
1:2:0:-0,6349828
1:2:1:-0,400362
1:3:0:-0,136251
1:3:1:0,07430128
1:4:0:0,9754488
1:4:1:0,4731802
///////////////////  END  ///////////////////
