/////////////////// START ///////////////////
Hidden layers: 1
Hidden layer size: 5
Hidden layers: 1
Fitness: 78873,32 /// Possibly Good unseen solution
0:0:0:1,745293
0:0:1:0,1984383
0:0:2:-0,3459845
0:0:3:-0,7672803
0:0:4:0,8375161
0:1:0:0,9780937
0:1:1:0,1180641
0:1:2:-0,02355611
0:1:3:0,987934
0:1:4:-0,8618078
0:2:0:0,2446598
0:2:1:-0,1967634
0:2:2:-0,2585582
0:2:3:0,464832
0:2:4:0,1663452
0:3:0:-1,024126
0:3:1:-0,4944012
0:3:2:0,4420606
0:3:3:-0,8971426
0:3:4:-0,8054204
0:4:0:-0,131452
0:4:1:-0,1580331
0:4:2:-0,3839519
0:4:3:1,39259
0:4:4:0,07211824
0:5:0:1,041117
0:5:1:0,5978954
0:5:2:-0,4995192
0:5:3:-0,4526631
0:5:4:0,5034361
0:6:0:1,08927
0:6:1:-0,642118
0:6:2:0,1983172
0:6:3:-2,108636
0:6:4:-0,1900107
0:7:0:0,8281931
0:7:1:-0,6590362
0:7:2:-0,4166532
0:7:3:-1,493782
0:7:4:-0,3707796
0:8:0:-0,234863
0:8:1:1,032147
0:8:2:0,7511881
0:8:3:-0,3329738
0:8:4:-0,5800542
0:9:0:-0,4811833
0:9:1:0,02202918
0:9:2:-1,52332
0:9:3:-1,082245
0:9:4:-0,6626755
0:10:0:-0,6441345
0:10:1:-0,4185554
0:10:2:-1,549516
0:10:3:-0,02125981
0:10:4:-1,521812
0:11:0:0,5163038
0:11:1:1,60968
0:11:2:0,0842865
0:11:3:0,4006995
0:11:4:0,6097412
1:0:0:-0,2751343
1:0:1:-1,003681
1:1:0:1,146999
1:1:1:-0,7448533
1:2:0:-0,222541
1:2:1:0,1664459
1:3:0:-1,023813
1:3:1:0,3127989
1:4:0:0,3271195
1:4:1:-2,372045
///////////////////  END  ///////////////////
