/////////////////// START ///////////////////
///// 2019/10/25 7:38:49 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=5)
10,02;92,9836
12,92;93,8691
13,04;138,4415
14,74;359,868
15;370,0578
16,32;845,2751
18,74;1165,813
21,06;1410,741
21,08;1539,019
25,44;1920,651
36,94;10350,6
58,36;26953,06
96,12;53760
112,6;95640,54
210,04;95640,54
///////////////////  END  ///////////////////
/////////////////// START ///////////////////
///// 2019/10/25 8:37:00 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=5)
7,52,66,73264
12,88,92,87949
13,06,145,9574
13,64,281,4037
15,96,441,4776
18,74,643,3008
21,26,826,9096
22,74,6195,109
36,84,6664,651
38,24,8112,819
42,5,36640,55
59,76,90099,55
///////////////////  END  ///////////////////
/////////////////// START ///////////////////
///// 2019/10/25 8:41:09 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=5)
18,56,3201,162
29,1,3787,999
38,96,4143,563
42,34,4444,575
42,74,5249,5
46,18,6191,529
48,02,38626,63
///////////////////  END  ///////////////////
/////////////////// START ///////////////////
///// 2019/10/25 8:43:05 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=5)
///////////////////  END  ///////////////////
/////////////////// START ///////////////////
///// 2019/10/25 8:44:01 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=5)
8,94,289,6676
13,84,411,5575
14,72,657,2001
16,84,1618,658
17,5,1911,262
18,3,2722,714
24,28,5113,787
30,04,5860,125
36,82,20897,63
124,34,79319,62
189,5,87911,34
208,96,87911,34
229,04,94818,48
294,7,91382,02
337,04,95830,4
408,98,95830,4
418,18,93576,77
459,12,94541,95
467,96,95619,44
496,12,94541,95
527,18,95758,48
531,6,97586,23
554,04,98307,34
609,98307,34
///////////////////  END  ///////////////////
